service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,1,1,20260427,20260526
IDFM:1569,0,1,0,0,0,0,0,20260505,20260526
IDFM:3448,1,0,0,0,0,0,1,20260427,20260525
IDFM:6690,0,1,1,1,1,0,1,20260428,20260524
IDFM:10000,1,1,1,1,0,1,0,20260427,20260502
IDFM:10001,0,0,0,0,1,0,0,20260501,20260501
IDFM:10013,0,0,0,0,0,0,1,20260503,20260503
IDFM:10048,1,1,1,0,0,1,0,20260504,20260526
IDFM:10075,0,0,0,0,0,0,1,20260510,20260524
IDFM:10184,0,0,1,0,0,0,0,20260506,20260520
IDFM:10185,1,1,0,0,0,0,0,20260504,20260526
IDFM:10188,0,0,1,0,0,1,0,20260506,20260523
IDFM:10193,1,1,1,0,0,0,0,20260504,20260526
IDFM:10199,0,0,0,0,0,1,0,20260509,20260523
IDFM:10217,1,1,1,1,0,0,0,20260427,20260526
IDFM:10292,0,0,0,0,0,1,0,20260502,20260516
IDFM:10332,0,0,0,0,0,1,0,20260502,20260502
IDFM:10344,0,0,0,0,1,0,1,20260501,20260503
IDFM:10425,0,0,0,0,0,0,1,20260508,20260525
IDFM:10427,0,0,0,0,0,1,0,20260509,20260523
IDFM:11142,0,0,0,0,1,0,0,20260515,20260522
IDFM:11769,1,1,0,0,0,0,0,20260504,20260526
IDFM:12319,1,1,1,1,0,0,0,20260427,20260526
IDFM:12433,0,0,0,0,1,0,0,20260501,20260522
IDFM:14805,1,1,1,1,1,1,1,20260427,20260526
IDFM:14820,1,1,1,1,1,0,1,20260427,20260525
IDFM:14821,1,1,1,1,0,1,1,20260427,20260526
IDFM:14823,0,0,0,0,0,1,1,20260502,20260524
IDFM:16432,0,0,1,0,1,0,0,20260506,20260522
IDFM:16437,1,1,0,0,0,0,0,20260504,20260526
IDFM:17272,0,1,1,1,1,1,0,20260505,20260523
IDFM:17304,0,1,1,1,1,0,0,20260428,20260501
IDFM:17408,1,0,0,0,0,0,0,20260427,20260427
IDFM:17689,1,0,0,0,0,0,0,20260511,20260525
IDFM:18717,0,0,0,0,0,1,1,20260509,20260524
IDFM:18843,0,0,0,0,0,1,1,20260502,20260503
IDFM:20384,1,1,1,1,1,1,1,20260504,20260526
IDFM:24380,0,0,0,0,0,1,1,20260501,20260524
IDFM:25851,0,0,0,0,0,0,1,20260501,20260525
IDFM:33819,0,1,1,1,0,0,0,20260428,20260430
IDFM:33944,0,1,1,1,0,0,0,20260428,20260526
IDFM:38750,1,0,0,0,0,0,0,20260502,20260526
IDFM:45862,0,1,1,1,0,0,0,20260427,20260526
IDFM:47187,0,1,0,0,0,0,0,20260504,20260526
IDFM:47188,1,1,1,0,0,0,0,20260427,20260526
IDFM:47454,0,0,0,0,0,1,0,20260509,20260523
IDFM:50990,0,0,1,1,1,0,0,20260506,20260523
IDFM:51227,0,1,0,0,0,0,0,20260505,20260519
IDFM:60227,0,0,0,0,0,0,1,20260510,20260525
IDFM:66395,1,1,0,0,0,0,0,20260504,20260526
IDFM:66710,0,0,0,0,0,1,0,20260430,20260523
IDFM:66837,0,0,0,0,1,0,0,20260507,20260522
IDFM:67121,1,1,0,0,0,0,0,20260427,20260526
IDFM:71153,0,0,0,0,0,0,1,20260503,20260524
IDFM:71485,1,1,0,0,0,0,0,20260504,20260526
IDFM:71685,0,0,0,0,0,1,0,20260501,20260525
IDFM:75815,1,1,1,0,0,0,0,20260504,20260526
IDFM:94655,0,0,0,0,0,0,1,20260510,20260524
IDFM:100000,0,0,0,0,0,0,1,20260503,20260525
IDFM:100003,1,0,0,0,0,0,0,20260504,20260526
IDFM:100035,0,0,0,0,0,1,0,20260502,20260525
IDFM:100037,0,0,0,0,1,0,0,20260501,20260524
IDFM:100103,1,0,0,0,0,0,0,20260518,20260518
IDFM:100133,0,1,0,0,0,0,0,20260519,20260519
IDFM:100267,0,1,0,0,0,0,0,20260504,20260526
IDFM:100276,0,0,0,0,0,1,0,20260502,20260523
IDFM:100317,0,0,0,0,0,0,1,20260501,20260525
IDFM:100355,1,1,1,0,0,0,0,20260504,20260526
IDFM:100412,0,0,0,0,0,1,0,20260502,20260523
IDFM:100460,0,0,0,0,1,0,0,20260515,20260515
IDFM:100727,1,1,1,1,0,0,0,20260427,20260430
IDFM:100846,1,1,1,0,0,0,0,20260504,20260526
